embedding_x,embedding_y
20.458649,14.785085
18.31494,15.677023
19.43896,15.053575
-10.718366,12.002624
5.7647443,-8.912737
18.544844,14.089852
20.687937,14.8871975
-0.5867128,0.77803564
21.900448,15.805939
-0.11267676,6.2190113
-2.1860936,12.056112
-10.21462,12.547454
21.965475,15.883369
6.653014,-9.684987
19.484797,15.150386
21.94001,15.85118
13.775322,0.33127952
-9.734212,12.373695
-2.3881729,4.17363
21.514801,15.316933
21.130741,15.092857
-9.059309,12.339122
18.773605,13.952698
14.95023,8.005365
20.729643,14.89554
-2.3842876,4.170806
14.47124,10.798837
7.248594,-12.052661
10.937306,8.921987
1.0041859,12.774421
22.789946,13.536384
12.247874,8.965812
8.97508,-11.113928
-1.0820388,-5.63673
-10.604776,11.314086
14.951253,7.9608684
21.954863,15.866563
13.086764,8.203911
21.186354,14.946462
14.505126,10.390978
14.744542,7.5636106
17.69528,14.986903
8.042987,21.434893
5.926317,-9.878857
7.8204584,-10.943727
7.787472,-10.985819
8.411008,16.47527
21.958382,15.870072
12.117714,9.183606
11.231733,10.293607
7.2373633,-12.142826
24.917902,3.6063993
-2.6917546,19.314562
27.208708,4.1623445
9.5721245,13.675544
10.377889,-16.489635
-4.326724,16.610735
13.186519,11.3907385
27.241169,4.1945877
6.615972,-9.642361
10.375586,-16.492144
-0.08131641,6.1997643
10.655687,5.874262
10.301436,-16.56494
16.284647,-3.3197854
3.5660605,2.7781959
21.962378,15.874445
11.32335,9.569766
21.85632,15.748031
22.097696,12.70169
20.74929,14.908026
21.988314,13.866925
-2.3913217,4.177936
10.3761635,-16.49138
-2.3846283,4.171106
10.7233715,5.9379663
18.359201,15.530164
21.541595,15.357361
20.122677,13.842719
7.7445984,-10.8861
-2.383065,4.1689396
18.624159,15.2298
10.379803,-16.4877
4.664383,12.9998
5.9492064,-8.641254
9.564699,13.671902
15.319421,-2.7268162
7.389314,-12.363384
27.215157,4.1686177
18.036715,14.284166
14.575271,10.487107
-10.664983,11.482034
15.02425,7.230593
-7.182398,0.90723246
18.604507,14.051973
-1.0855814,-5.6402807
21.814072,15.7017145
22.585632,13.646259
7.289822,-12.191404
10.020906,10.228428
17.84049,12.218729
10.375542,-16.492504
3.585626,2.815148
19.36813,15.795601
27.194258,4.14788
-0.88955396,1.130073
17.677998,15.627408
17.962708,12.225031
-6.3589873,0.18721789
-2.3711188,4.1570477
21.62597,13.169357
-6.2288814,0.16466124
-3.8636725,17.003113
-2.3999918,4.1870923
15.499112,-2.505453
19.561777,15.186323
14.893863,7.417758
10.299807,-16.566614
21.481003,15.296942
21.62298,13.30487
20.581337,14.799292
18.268541,12.99644
16.400246,-1.3995355
18.018461,12.332212
13.80425,11.350045
22.138506,13.654469
18.18043,14.063284
-2.407783,4.194563
12.976049,10.823981
13.167588,11.358105
10.305303,-16.56124
18.716425,12.186271
10.957412,18.58419
16.710903,23.110754
15.369097,23.924568
5.8707423,-9.951894
18.13306,12.226954
-6.372269,0.17472258
10.376259,-16.491629
12.678079,8.322747
-6.347914,-0.055208806
5.8502307,-9.987366
9.245071,13.523582
18.529234,14.030868
5.4529653,19.616346
9.596015,13.718909
18.715082,15.7896
18.126677,12.200356
15.992114,23.999935
13.056397,8.129765
13.1698675,8.2759285
9.447073,24.18738
-10.183639,12.5891
-2.1826928,12.053395
18.018396,15.488358
7.1023207,-7.562407
4.6652923,13.0006695
8.079046,14.395573
-5.4705877,-0.0572127
-6.3465257,0.20891649
-6.369523,-0.15278861
13.405971,10.656
18.247093,14.063432
12.776419,8.272204
27.238274,4.191415
5.8674154,-9.955692
0.29100066,0.6533721
3.9534206,2.2903938
-2.3636763,4.15051
19.299974,15.851582
21.137995,15.097723
-4.321139,16.610275
21.479164,14.832305
10.33871,10.053952
17.995567,15.489671
18.904366,15.819788
7.95776,14.470861
0.8393366,22.202835
-1.0702684,-5.624147
0.23060547,6.030472
19.646957,15.142548
-0.94195974,0.8267484
20.577553,14.793626
19.095325,11.325901
18.81396,14.049853
5.4003086,-7.105396
-4.444291,17.374922
14.525866,10.615397
21.970259,15.879591
-2.7565048,19.454191
18.070974,15.408362
22.853563,13.473422
17.001337,-0.9365909
-2.3740022,4.1607513
21.066565,15.061488
-3.118304,19.38743
5.707184,-8.736807
13.77053,0.3279655
-2.3910434,4.177516
5.9008007,-9.909615
13.955718,10.172955
-2.3878262,4.1745358
7.4068513,-12.357173
8.468693,21.167402
9.098034,-11.204138
18.534708,14.076329
10.299741,-16.566668
18.496458,15.735627
17.15561,-0.72723776
7.309235,-12.225395
8.015122,14.263374
18.398203,15.282021
16.566896,-3.0367322
-10.895236,11.727578
5.834908,1.1719052
10.375068,-16.492966
16.70386,22.991724
19.78579,14.16715
2.9553192,7.2725677
-2.9021008,19.516415
13.763517,10.528676
21.207365,15.122107
9.107372,14.603879
13.52987,-4.9326363
12.6184435,15.854897
2.5583541,13.269509
2.9077272,13.447119
14.392679,14.273759
-2.1553547,3.9445899
9.131682,14.59735
22.5943,13.640288
-2.1414733,3.9308321
-2.207571,3.9968638
10.309404,-16.55709
10.309067,-16.557417
